DATE,SIM,OBS
10/12/2009,4354.81681,8955.9
11/12/2009,4304.85461,8850.8
12/12/2009,4295.69241,8781.2
13/12/2009,4303.53021,8677.6
14/12/2009,4292.46801,8643.3
15/12/2009,4243.40581,8540.9
16/12/2009,4158.54361,8507
17/12/2009,4050.6814,8473.1
18/12/2009,3933.7192,8338.8
19/12/2009,3817.357,8272.2
20/12/2009,3707.3948,8140.3
21/12/2009,3606.3326,8042.4
22/12/2009,3517.4704,7977.6
23/12/2009,3441.57091,7913.2
24/12/2009,3418.56938,7849.1
25/12/2009,3423.26785,7849.1
26/12/2009,3344.36631,7817.3
27/12/2009,3272.16478,7785.5
28/12/2009,3215.76324,7753.8
29/12/2009,3178.66171,7753.8
30/12/2009,3156.36017,7722.3
31/12/2009,3131.45864,7628.1
01/01/2010,2470.89065,7565.8
02/01/2010,2514.39065,7442.4
03/01/2010,2568.39065,7350.7
04/01/2010,2623.89065,7260
05/01/2010,2661.43178,7199.9
06/01/2010,2671.31039,7140.3
07/01/2010,2655.989,7080.9
08/01/2010,2624.96761,7022
09/01/2010,2586.74622,6963.4
10/01/2010,2547.12483,6934.3
11/01/2010,2508.70344,6876.2
12/01/2010,2472.38205,6818.6
13/01/2010,2439.06066,6761.3
14/01/2010,2410.13927,6704.3
15/01/2010,2386.41788,6676
16/01/2010,2367.89649,6647.7
17/01/2010,2354.0751,6591.5
18/01/2010,2344.45371,6535.6
19/01/2010,2338.43232,6480.1
20/01/2010,2335.41093,6452.4
21/01/2010,2334.38954,6397.4
22/01/2010,2334.06815,6370.1
23/01/2010,2333.44676,6342.8
24/01/2010,2332.12538,6288.5
25/01/2010,2330.40399,6234.5
26/01/2010,2328.6826,6207.7
27/01/2010,2327.86121,6180.9
28/01/2010,2328.23982,6154.2
29/01/2010,2329.91843,6101.1
30/01/2010,2332.69704,6048.4
31/01/2010,2335.87565,5995.9
01/02/2010,2338.75426,5969.9
02/02/2010,2341.23287,5917.9
03/02/2010,2342.91148,5892.1
04/02/2010,2344.09009,5840.7
05/02/2010,2345.0687,5789.6
06/02/2010,2351.11438,5764.2
07/02/2010,2358.70923,5738.9
08/02/2010,2366.60407,5713.6
09/02/2010,2374.79892,5663.4
10/02/2010,2383.49377,5638.4
11/02/2010,2392.38862,5613.5
12/02/2010,2401.48346,5563.9
13/02/2010,2410.67831,5539.2
14/02/2010,2420.07316,5514.6
15/02/2010,2429.568,5490.1
16/02/2010,2439.16285,5490.1
17/02/2010,2448.7577,5465.7
18/02/2010,2458.15255,5441.3
19/02/2010,2467.64739,5417.1
20/02/2010,2477.54224,5417.1
21/02/2010,2488.83709,5392.9
